rating,review
1,"I was extremely dissatisfied with my recent experience at the Domino's outlet in Belapur. I had placed an order through the app, but when I received it, the pizza was not up to my expectations. The quality of food was subpar, and I was particularly disappointed when I found out that they had skipped serving bread in the so-called 'pizza' I ordered. I strongly feel that they need to re-evaluate their staff and the chef to provide better-quality food and service to their customers.
Bealpur Sector-11"
1,"I ordered meal for two today at this outlet, they told me counter order closed at 1900 hrs and need to order online for home delivery, assured me that order will served at the table. All this happened the staff told me they will ge Rs30/- from company. While I was waiting for my order, some other delivery boy took the order to deliver it some unknown place.
I confronted them and they were clueless. Total unprofessional behaviour. I also asked them to clean the table but for good 15 minutes no one attended again I had to remind them.
Never ever visit that store again."
3,"Firstly they said that online payment was not working and asked us to pay in cash. We didn't have cash so they agreed to take online payment and it worked. We ordered the food and they didn't give us the order number. They said the food will come to your place. The food didn't arrive for 20 minutes, we went to check in and the whole staff was confused about where the order was. They then gave us already packed food which was just lying there since 10 minutes. No responsibility taken, no efforts taken. They didn't even give us Chilli flakes or Oregano. Only good thing was they gave us mobile charger."
4,"The store was good, furniture was well maintained and cleanliness was up to the mark. In fact the store guy helped me with charging my phone. The pizza was super yum and hot. The store is at a walkable distance to the Railway Station,   Overall a satisfactory response"
1,"Never in my life have I been to a store where the staff have been this rude and standoffish. I went to place my order for takeaway and the staff taking my order seemed so disappointed to see me as if I had ruined his day just by walking into the store, then a lady came up and instead of the usual ""hi what would you like to order?"" She just raised her eyebrow at me, gesturing at me in a questioning way. I wanted garlic breadstick and a bottle of Pepsi, so they entered my phone number and asked for my OTP which I provided and the lady tells me, we only have coke, Pepsi is only for online orders, so I decided to place my order online and walked out. When I tried to place the order online, the store was offline and not accepting orders. The ownere should get rid of these staff they seem so reluctant to do their damn job"
2,"There is no taste in the food.
Never ever try noodles, u will regret forever.
It’s like dhaba where authenticity of dhaba is missing completely.
No wonder why it always empty.
Don’t waste ur time and money."
3,"It is a very good and very reasonable Hotel in sector 10 Belapur. All corporate office people visit there for afternoon lunch. Very tasty food both in Veg and non-veg. I have tried Paneer tikka masala , Pannel kebab starters very nice quantity was good. Non veg starters in both Chinese and indian are nice along with main course.

Pros - Very reasonable and pocket friendly with overall good ambience."
5,The food is really delicious. Loved the place and ambience.
5,Very good place to celebrate occasions like Birthdays.
5,I have ordered veg biryani. Taste was delicious.. Couldn't explain in words.. Just try it without thinking. Best service and pleasant ambiance. Would like to try more dishes there.
1,Counter person is arrogant.  Food quality was not up to the mark...  Owner should have a look...
5,"Cool hang out if u like to chat up with friends over drinks. Food is tasty. Ambience is rustic , it helps , if u are not bothered about it."
5,Food is very tasty and delicious specially Dal khichdi with butter. go for chinese here. The prices are no cost friendly. They offer on 10 % on kitchen order in happy hour .
5,"Nice place to sit for a few drinks. Food here is slightly above average along with quick service from the staff.
Pocket friendly prices."
