rating,review,,,,,,,,,
5,"I rarely give 5 stars. This restaurant reserved it. What a gem of a restaurant. Feeling very lucky to have found it among thousands of reataurants in Surat. Even though I rarely get to dine outside in Surat but this easily the best so far. The food was tasty - European but with a punch of Indian flavor. Was served by Kartik from shiliguri. He was excellent and as I write this review, I am feeling happy with full tummy. I ordered the lamb roast as main and it did not disappoint  me.
Plan to come back again if o get the chance. The surprising part was the menu which was sitting on the table looking like a newspaper - pleasant surprise. 😀
Thanks to the owners for creating such a place for us to enjoy.",,,,,,,,,
4,"This was my second visit to trezoro.. the most loved are pizzas and desserts of Trezoro.. they are a must try.. we ordered pesto sauce pizza which was chef special pizza, mock-tails containing cranberry mojito and pineapple mango sorbet both were not impressive also prices were high according to the taste so overall 4 star to food. We also tried guacamole sourdough toast which was tasty again portion size was very small..in desserts we tried classic Tiramisu which was absolute delight.. overall food was great but mocktails were not upto mark..",,,,,,,,,
1,The food served here is pathetic. There are egg shells in the food and any one knows what it can do. The valet parking guy dose not respond a car comes and we park ourselves and he is busy using his phone. When we say the coffee is made wrong the manager tells us hum toh aisa hi banate hai apko nahi pata hoga. The food portions are too small for some articles that it cant even feed a baby. We came here to have a good breakfast but we’re so disappointed that we wont recommend any one coming here. They served us a sandwich which was fridge cold. This is the worst service and food we have had.,,,,,,,,,
1,"Very bad experience, staff does not have serving etiquette, ordered pizza which was not up to the mark, almost soggy
When we tried to explain the manager instead of acknowledging our opinion he was stuck to his opinion how bad pizza they can make.
Won't come again here.",,,,,,,,,
5,"One of the best places for breakfast or brunch in Surat. The food quality is exceptional, with an extensive menu offering a wide variety of options. I had a fantastic time here. The staff is warm and attentive, and the service is truly top-notch.",,,,,,,,,
4,"Cool breeze drink was not like described. But still nice as a subtle drink

Passion ice tea was nice

Lamb burger was not up to expectations as a fine dine rest. Vegetables need to be cut thinner and smaller

Pasta was good

Taco starters was nice

Staff was very polite understanding.

Can also play board games.

Over all nice experience worth a try 8/10",,,,,,,,,
2,It's a great looking place with a perfect cafe ambience. They have created a good fine dining experience. But the food was very under par. They don't know how to make italian food. They are very overpriced for the quality of food they are serving. I would not recommend this place. This pizza that I have uploaded was not worth finishing also.,,,,,,,,,
5,"If you worship food, then you must visit this place. Your taste buds will be on cloud nine after trying treasures from the menu.  The taste is not usual, it’s no where near to what you eat everyday so take a first bite with an open mind, I am sure that you will fall in love with the whole experience. I was fortunate enough to meet and chat with owners. They have prepared/created each and every item in the menu which can be felt in minute details in the preparation of the food. I was blown away by the fact that they grow some of the ingredients in house, do not forget to ask about these home grown ingredients. The ambience of the place is welcoming for whole family, group of friends as well as for couples on their first date. Eat whatever you like, you will enjoy it but don’t miss the rose tart…. Any time of the day and any day of the week is perfect to visit this place. Parking is not a problem as they have valet parking.",,,,,,,,,
2,Overall food is too costly with compare to Similar restaurants..and taste was also not that up to the mark…location is good …Place need maintenance and cleanliness…,,,,,,,,,
5,"This restaurant came in highly recommended by a local resident.
Great place for some casual dining & a good place to chill with friends & family.

The truffle fries were great, Pesto chicken pizza & the original margarita pizza were good!

Fried chicken wings were good too…

The soups were average & spaghetti pasta was OK!

Overall 5 stays for food & ambiance…

The customer service could have been a bit better. Especially related to the way The food was served….
Instead of starting appetizers and soup first they served a pizza first, and then got the rest of the food randomly…
But overall decent service.

We met the two owners at the end of our meal and they were very personable and appreciated our visit and candid feedback.

Overall, I highly recommend this restaurant if you’re visiting Surat…",,,,,,,,,
5,"Trezoro is a must-visit destination in Surat for anyone seeking an exceptional Italian dining experience. The prawn risotto is an absolute highlight, perfectly creamy and bursting with flavor, while their chicken dishes are expertly cooked, tender, and seasoned to perfection. For vegetarians, the menu offers an array of delicious options, ensuring everyone finds something to savor.

The ambiance is just as impressive as the food. Set in a beautifully designed space, the interiors blend earthy tones, reclaimed wood, and greenery to create a warm and inviting atmosphere. Whether it’s a casual outing or a special occasion, Trezoro delivers an unforgettable dining experience with attentive service and a great vibe. Highly recommended!",,,,,,,,,
3,"Vibe of the place-great but the food is not that great.
The tiramisu croissant was a bummer coz it did not taste anything like tiramisu - too bitter and fully loaded with coffee poweder and cream
Tiramisu and croissant are the two things I love and when merged I expected something great but it wasn't.

The pizza was a bit different then routine and I personally liked it but my friends didn't as they found it similar to naan and chicken curry.

Hot chocolate had a thick layer of MALAAI on top of it...I had never seen one on top of a hot chocolate, normally seen on top of milk and tea when it boils and cools down.

Ordered a sandwich as well and it was fine.

Hazelnut shake was good",,,,,,,,,
4,"Trezoro has a welcoming vibe and the food didn’t disappoint. I tried the Mexican Tomato Soup, a bit cold but was flavorful with a nice warmth, and the Vegetable Lasagne, which was comforting and well‑made. The portions were generous and the ingredients tasted fresh.

One area for improvement would be the atmosphere. Adding some light background music could help elevate the dining experience and make the space feel more lively.

Overall, a solid pick for a tasty, satisfying meal with potential for a nicer ambiance.",,,,,,,,,
3,"Good place to hang out with friends..vintage and aesthetic ambience..great bakery and dessert options. Also, food little expensive but good in taste. They have both indoor and outdoor seating. Most of the food items are inspired by Italian food.

For those who are not fond of Italian food, this is not the place for them.  Those who are interested in exploring new food can enjoy visiting here once.",,,,,,,,,
3,Yesterday we visited this place. They have such a unique concept of menu. We ordered so many varieties from their menu. Like we tried Napoli whispering pizza 🍕 which was damnn good but the sauces served with it ..it guess it was same like marinara sauce it was good but the after taste was tingling on tongue. After that we ordered gnocchi but they didn't have it. So we ordered Fuseli Alfredo which was normal. Then we ordered a filet fish burger but again they didn't have it. So we ordered a grill shroom burger. It was really good like the patty and stuffing but the sauce eewww it was really overpowering. They said it is animal sauce but TBH it tasted something similar like mustard sauce. That made the taste of burger from wow to zero in seconds. We ordered pineapple kombucha which was like of 10days. we didn't like it much. Again we ordered pistachio caramel milkshake which was damn delicious. Then lastly we ordered salted caramel eclair but it felt stale. like the texture and even the taste you can tell it. The sauce and the chocolate didn't go well together. The flavour was bad. French cuisine is not worth it here ig. Italian was good 👍🏽,,,,,,,,,
5,"For every Non-Veg lover, you should be coming and trying here definitely! Each and every dish crafted with utmost care and the taste is justtt beyond what you will expect, do try it and it will be the best place that you would visit👍🏻👍🏻",,,,,,,,,
4,"Good place to hang out..vintage and aesthetic ambience..great bakery and dessert options. Also, food little expensive but good in taste. They have both indoor and outdoor seating. You can host workshops, dinners etc.",,,,,,,,,
5,"Trezoro is a charming café with a delightful European vibe, perfect for a cozy outing. The atmosphere is warm and inviting, with mood lighting and cute decor that adds to its charm.

The menu at Trezoro is impressive, offering a wide range of delicacies like pastries, cookies, breads, pizzas, and coffee. It’s a great spot for a first date, with a unique touch—icebreakers and conversation topics listed on the menu to help get things started.

We ordered the Truffle Treasure, one of the best Neapolitan pizzas I’ve ever had. The combination of caramelized onions, marinara sauce, Mozzarella and Parmesan cheese, and cooked mushrooms topped with truffle oil was a classic delight.

To drink, I had the Vietnamese Cold Coffee, which was a balanced mix of espresso shots and condensed milk—not too sweet, just right. We also tried the Belgian Chocolate Milkshake, which was very, very good. It's on the sweeter side, so it’s perfect if you have a sweet tooth.

The service was quick and professional, with polite staff who made the experience even better.

Our final bill for two people came to Rs 1,536.

There is free valet parking available for four wheeler and ample parking space for two wheelers",,,,,,,,,
